Fri Jun  8 20:26:06 2018   [INFO ] Canvas(398742976) C-tor with values(rows:70, cols:70).
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of Picture
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of GFactory
Fri Jun  8 20:26:06 2018   [INFO ] GCircle Factory
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of GItem
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of GCircle
Fri Jun  8 20:26:06 2018   [INFO ] Restored GCircle
Fri Jun  8 20:26:06 2018   [INFO ] GLine Factory
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of GItem
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor GLine
Fri Jun  8 20:26:06 2018   [INFO ] Restored GLine from file
Fri Jun  8 20:26:06 2018   [INFO ] GPixel factory
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of GItem
Fri Jun  8 20:26:06 2018   [INFO ] Default C-tor of GPixel
Fri Jun  8 20:26:06 2018   [INFO ] Restore Pixel from file
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(15, 25)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(15, 5)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(15, 25)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(15, 5)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(17, 24)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(17, 6)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(13, 24)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(13, 6)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(19, 23)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(19, 7)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(11, 23)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(11, 7)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(21, 22)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(21, 8)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(9, 22)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(9, 8)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(23, 21)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(23, 9)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(7, 21)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(7, 9)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(25, 20)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(25, 10)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(5, 20)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(5, 10)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(26, 18)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(26, 12)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(4, 18)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(4, 12)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(27, 16)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(27, 14)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(3, 16)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(3, 14)  out if canvas.
Fri Jun  8 20:26:06 2018   [INFO ] Drawing circle. R = 10 with center:(15, 15)
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(30, 40)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(10, 20)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(11, 21)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(12, 22)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(13, 23)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(14, 24)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(15, 25)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(16, 26)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(17, 27)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(18, 28)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(19, 29)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(20, 30)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(21, 31)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(22, 32)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(23, 33)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(24, 34)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(25, 35)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(26, 36)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(27, 37)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(28, 38)  out if canvas.
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(29, 39)  out if canvas.
Fri Jun  8 20:26:06 2018   [INFO ] Draw line from (10,20) to (30,40)
Fri Jun  8 20:26:06 2018   [INFO ] Draw Pixel at(5,40)
Fri Jun  8 20:26:06 2018   [WARN ] Value(s)(5, 40)  out if canvas.
Fri Jun  8 20:26:06 2018   [INFO ] Draw Canvas(398742976) to some stream
